id,name,email,preco,projetos,avaliacoes
2.0,Averyl,Averyl.35@yopmail.com,396.93,35.0,5.76
6.0,Cherilyn,Cherilyn.163@yopmail.com,94.69,163.0,5.35
7.0,Lynde,Lynde.149@yopmail.com,195.11,149.0,5.18
17.0,Chandra,Chandra.94@yopmail.com,244.76,94.0,5.27
22.0,Carol-Jean,Carol-Jean.138@yopmail.com,752.52,138.0,5.24
24.0,Ardenia,Ardenia.131@yopmail.com,238.47,131.0,5.04
26.0,Mady,Mady.109@yopmail.com,567.41,109.0,5.05
30.0,Misha,Misha.107@yopmail.com,762.37,107.0,5.48
32.0,Keelia,Keelia.129@yopmail.com,393.16,129.0,5.14
34.0,Roslyn,Roslyn.27@yopmail.com,707.96,27.0,5.37
37.0,Shel,Shel.26@yopmail.com,667.58,26.0,5.26
41.0,Marylou,Marylou.86@yopmail.com,652.2,86.0,5.75
52.0,Fidelia,Fidelia.28@yopmail.com,231.91,28.0,5.78
53.0,Daphne,Daphne.7@yopmail.com,917.49,7.0,4.64
54.0,Selma,Selma.15@yopmail.com,104.94,15.0,5.42
55.0,Mathilda,Mathilda.21@yopmail.com,450.38,21.0,5.81
56.0,Lorenza,Lorenza.133@yopmail.com,666.39,133.0,5.81
57.0,Cristine,Cristine.64@yopmail.com,626.03,64.0,5.66
59.0,Christian,Christian.51@yopmail.com,753.12,51.0,5.22
62.0,Lexine,Lexine.137@yopmail.com,863.99,137.0,5.53
71.0,Sidoney,Sidoney.137@yopmail.com,244.67,137.0,5.9
75.0,Sashenka,Sashenka.170@yopmail.com,612.46,170.0,5.53
81.0,Giustina,Giustina.19@yopmail.com,796.11,19.0,5.53
83.0,Meghann,Meghann.137@yopmail.com,197.65,137.0,4.74
86.0,Giustina,Giustina.101@yopmail.com,812.86,101.0,5.54
90.0,Lacie,Lacie.185@yopmail.com,355.31,185.0,5.05
93.0,Fred,Fred.105@yopmail.com,982.48,105.0,4.5
96.0,Margalo,Margalo.190@yopmail.com,340.57,190.0,4.57
97.0,Deirdre,Deirdre.173@yopmail.com,915.4,173.0,4.77
98.0,Thalia,Thalia.33@yopmail.com,905.8,33.0,5.8
100.0,Cathie,Cathie.44@yopmail.com,962.35,44.0,5.66
102.0,Britni,Britni.172@yopmail.com,907.61,172.0,5.47
106.0,Valera,Valera.127@yopmail.com,126.46,127.0,5.01
110.0,Cristine,Cristine.137@yopmail.com,500.32,137.0,4.57
112.0,Elena,Elena.131@yopmail.com,492.91,131.0,4.54
113.0,Kirstin,Kirstin.181@yopmail.com,826.53,181.0,5.94
117.0,Alisha,Alisha.141@yopmail.com,976.99,141.0,5.11
121.0,Bill,Bill.21@yopmail.com,165.56,21.0,5.53
122.0,Arlena,Arlena.80@yopmail.com,565.72,80.0,5.79
124.0,Kellen,Kellen.127@yopmail.com,71.98,127.0,5.14
126.0,Dari,Dari.114@yopmail.com,397.22,114.0,5.22
127.0,Leeanne,Leeanne.23@yopmail.com,348.05,23.0,5.26
128.0,Arlena,Arlena.138@yopmail.com,24.63,138.0,4.82
130.0,Kristina,Kristina.112@yopmail.com,248.19,112.0,5.96
133.0,Damaris,Damaris.150@yopmail.com,597.69,150.0,5.8
135.0,Marcy,Marcy.48@yopmail.com,759.14,48.0,5.46
136.0,Justinn,Justinn.102@yopmail.com,435.79,102.0,5.19
139.0,Jenda,Jenda.52@yopmail.com,464.59,52.0,5.86
146.0,Rhea,Rhea.164@yopmail.com,210.88,164.0,4.52
149.0,Gisela,Gisela.122@yopmail.com,831.76,122.0,5.55
153.0,Petronia,Petronia.196@yopmail.com,642.2,196.0,4.7
154.0,Grier,Grier.162@yopmail.com,77.99,162.0,5.84
155.0,Sibella,Sibella.120@yopmail.com,271.96,120.0,5.89
164.0,Phylis,Phylis.27@yopmail.com,763.08,27.0,4.51
169.0,Sadie,Sadie.12@yopmail.com,311.45,12.0,4.81
171.0,Kirstin,Kirstin.17@yopmail.com,320.53,17.0,4.53
172.0,Jolyn,Jolyn.139@yopmail.com,106.84,139.0,4.7
173.0,Cathie,Cathie.54@yopmail.com,664.14,54.0,5.45
175.0,Babita,Babita.11@yopmail.com,185.72,11.0,5.71
183.0,Marika,Marika.185@yopmail.com,848.61,185.0,5.7
186.0,Joelly,Joelly.127@yopmail.com,818.43,127.0,4.65
188.0,Jenilee,Jenilee.87@yopmail.com,426.75,87.0,4.92
197.0,Valli,Valli.66@yopmail.com,479.79,66.0,5.94
199.0,Tina,Tina.@yopmail.com,261.58,0.0,5.54
204.0,Paola,Paola.53@yopmail.com,730.16,53.0,5.44
207.0,Claresta,Claresta.17@yopmail.com,239.98,17.0,4.81
208.0,Marsiella,Marsiella.11@yopmail.com,31.94,11.0,5.33
209.0,Kellen,Kellen.173@yopmail.com,658.61,173.0,5.85
210.0,Krystle,Krystle.71@yopmail.com,207.29,71.0,4.74
214.0,Valli,Valli.107@yopmail.com,755.81,107.0,5.76
215.0,Ernesta,Ernesta.40@yopmail.com,655.7,40.0,5.07
216.0,Lucy,Lucy.51@yopmail.com,665.64,51.0,5.3
220.0,Christy,Christy.170@yopmail.com,20.55,170.0,5.86
221.0,Roberta,Roberta.57@yopmail.com,914.28,57.0,4.96
222.0,Amii,Amii.80@yopmail.com,794.35,80.0,5.35
226.0,Cam,Cam.88@yopmail.com,473.28,88.0,5.68
227.0,Mariele,Mariele.26@yopmail.com,926.65,26.0,5.23
238.0,Ayn,Ayn.196@yopmail.com,954.27,196.0,5.45
240.0,Tatiania,Tatiania.135@yopmail.com,583.48,135.0,5.2
244.0,Cathyleen,Cathyleen.92@yopmail.com,401.01,92.0,5.82
247.0,Brynna,Brynna.16@yopmail.com,83.46,16.0,5.94
248.0,Kamilah,Kamilah.142@yopmail.com,602.44,142.0,4.67
249.0,Asia,Asia.186@yopmail.com,258.52,186.0,4.93
251.0,Celene,Celene.70@yopmail.com,569.15,70.0,5.46
253.0,Kayla,Kayla.39@yopmail.com,69.79,39.0,5.7
254.0,Wanda,Wanda.99@yopmail.com,173.41,99.0,4.84
262.0,Celisse,Celisse.84@yopmail.com,255.74,84.0,5.66
263.0,Farrah,Farrah.90@yopmail.com,602.44,90.0,4.75
271.0,Hayley,Hayley.6@yopmail.com,900.74,6.0,5.31
274.0,Donnie,Donnie.99@yopmail.com,672.22,99.0,4.89
276.0,Dorthy,Dorthy.57@yopmail.com,989.98,57.0,5.68
278.0,Rosanne,Rosanne.105@yopmail.com,697.56,105.0,5.02
285.0,Larine,Larine.57@yopmail.com,963.59,57.0,4.6
287.0,Tarra,Tarra.169@yopmail.com,378.49,169.0,5.65
288.0,Kirstin,Kirstin.199@yopmail.com,344.53,199.0,5.27
289.0,Luci,Luci.34@yopmail.com,947.21,34.0,4.59
294.0,Merry,Merry.63@yopmail.com,400.08,63.0,4.71
296.0,Ana,Ana.162@yopmail.com,815.2,162.0,4.65
314.0,Micheline,Micheline.114@yopmail.com,415.97,114.0,5.01
315.0,Dotty,Dotty.70@yopmail.com,778.81,70.0,5.08
319.0,Shel,Shel.148@yopmail.com,844.67,148.0,5.45
324.0,Corene,Corene.197@yopmail.com,258.31,197.0,4.5
325.0,Frieda,Frieda.3@yopmail.com,951.21,3.0,5.51
326.0,Ethel,Ethel.45@yopmail.com,360.48,45.0,5.41
330.0,Nita,Nita.16@yopmail.com,479.76,16.0,4.86
337.0,Mamie,Mamie.42@yopmail.com,314.57,42.0,5.91
341.0,Marleah,Marleah.42@yopmail.com,754.71,42.0,4.95
350.0,Jsandye,Jsandye.66@yopmail.com,889.94,66.0,5.64
354.0,Ingrid,Ingrid.97@yopmail.com,668.16,97.0,5.21
355.0,Cissiee,Cissiee.30@yopmail.com,105.34,30.0,5.72
358.0,Rosaline,Rosaline.40@yopmail.com,933.18,40.0,5.54
359.0,Vonny,Vonny.149@yopmail.com,873.72,149.0,5.1
362.0,Nanete,Nanete.168@yopmail.com,523.18,168.0,4.82
366.0,Jany,Jany.181@yopmail.com,426.86,181.0,5.71
368.0,Stacey,Stacey.94@yopmail.com,909.29,94.0,4.68
372.0,Madelle,Madelle.151@yopmail.com,7.73,151.0,5.09
384.0,Kelly,Kelly.63@yopmail.com,540.07,63.0,5.54
386.0,Renae,Renae.126@yopmail.com,748.22,126.0,5.68
391.0,Teriann,Teriann.121@yopmail.com,217.45,121.0,5.29
392.0,Giustina,Giustina.167@yopmail.com,188.93,167.0,4.74
398.0,Alexine,Alexine.53@yopmail.com,846.33,53.0,4.78
402.0,Anthia,Anthia.39@yopmail.com,74.97,39.0,5.66
403.0,Merle,Merle.175@yopmail.com,382.17,175.0,5.26
404.0,Mamie,Mamie.188@yopmail.com,860.87,188.0,4.56
415.0,Anestassia,Anestassia.78@yopmail.com,802.82,78.0,4.79
417.0,Bobinette,Bobinette.13@yopmail.com,881.58,13.0,5.35
422.0,Wilma,Wilma.9@yopmail.com,717.6,9.0,4.59
423.0,Ricky,Ricky.187@yopmail.com,658.51,187.0,4.84
427.0,Collen,Collen.144@yopmail.com,352.65,144.0,5.42
429.0,Carlie,Carlie.113@yopmail.com,527.28,113.0,5.8
430.0,Deedee,Deedee.74@yopmail.com,357.35,74.0,4.93
431.0,Darci,Darci.134@yopmail.com,489.09,134.0,5.66
432.0,Edee,Edee.53@yopmail.com,144.94,53.0,4.72
436.0,Libbie,Libbie.80@yopmail.com,829.9,80.0,4.86
439.0,Roslyn,Roslyn.50@yopmail.com,783.25,50.0,5.59
441.0,Aili,Aili.38@yopmail.com,902.55,38.0,5.83
447.0,Danny,Danny.80@yopmail.com,408.31,80.0,5.6
450.0,Laure,Laure.110@yopmail.com,88.56,110.0,5.1
451.0,Wynne,Wynne.132@yopmail.com,618.36,132.0,4.88
458.0,Valeda,Valeda.140@yopmail.com,862.74,140.0,5.96
460.0,Raquela,Raquela.83@yopmail.com,349.42,83.0,5.7
462.0,Mellicent,Mellicent.172@yopmail.com,662.64,172.0,4.99
465.0,Selia,Selia.31@yopmail.com,715.69,31.0,4.55
468.0,Perry,Perry.@yopmail.com,591.77,0.0,5.52
474.0,Aili,Aili.143@yopmail.com,665.99,143.0,5.84
475.0,Nikki,Nikki.3@yopmail.com,363.6,3.0,4.82
476.0,Kassey,Kassey.164@yopmail.com,199.25,164.0,4.51
477.0,Madelle,Madelle.52@yopmail.com,232.98,52.0,5.49
478.0,Cacilie,Cacilie.152@yopmail.com,497.32,152.0,5.63
481.0,Winny,Winny.200@yopmail.com,155.72,200.0,5.13
485.0,Harrietta,Harrietta.73@yopmail.com,388.74,73.0,5.94
486.0,Modestia,Modestia.104@yopmail.com,931.73,104.0,4.52
487.0,Nananne,Nananne.75@yopmail.com,324.19,75.0,4.91
489.0,Jacenta,Jacenta.71@yopmail.com,367.88,71.0,4.7
490.0,Cherilyn,Cherilyn.29@yopmail.com,923.18,29.0,5.63
500.0,Charlena,Charlena.1@yopmail.com,128.81,1.0,4.97
