id,name,email,preco,projetos,avaliacoes
1,Mariann,Mariann.180@yopmail.com,43.51,180,2.86
2,Averyl,Averyl.35@yopmail.com,396.93,35,5.76
3,Aryn,Aryn.156@yopmail.com,166.71,156,4.35
4,Myriam,Myriam.79@yopmail.com,959.09,79,1.08
5,Dione,Dione.49@yopmail.com,715.54,49,2.58
6,Cherilyn,Cherilyn.163@yopmail.com,94.69,163,5.35
7,Lynde,Lynde.149@yopmail.com,195.11,149,5.18
8,Lanae,Lanae.51@yopmail.com,24.52,51,1.08
9,Glenda,Glenda.100@yopmail.com,925.07,100,3.43
10,Cordi,Cordi.146@yopmail.com,451.27,146,1.44
11,Lynde,Lynde.49@yopmail.com,925.33,49,3.49
12,Tamqrah,Tamqrah.59@yopmail.com,688.15,59,3.4
13,Carmela,Carmela.63@yopmail.com,821.73,63,1.24
14,Cyndie,Cyndie.184@yopmail.com,342.93,184,2.03
15,Anica,Anica.171@yopmail.com,522.8,171,1.48
16,Sheree,Sheree.121@yopmail.com,34.13,121,2.22
17,Chandra,Chandra.94@yopmail.com,244.76,94,5.27
18,Anestassia,Anestassia.39@yopmail.com,707.1,39,2.74
19,Tina,Tina.143@yopmail.com,536.52,143,1.29
20,Florencia,Florencia.199@yopmail.com,146.71,199,1.89
21,Deane,Deane.35@yopmail.com,693.35,35,1.13
22,Carol-Jean,Carol-Jean.138@yopmail.com,752.52,138,5.24
23,Lusa,Lusa.106@yopmail.com,953.09,106,2.05
24,Ardenia,Ardenia.131@yopmail.com,238.47,131,5.04
25,Mahalia,Mahalia.90@yopmail.com,800.11,90,4.22
26,Mady,Mady.109@yopmail.com,567.41,109,5.05
27,Valera,Valera.178@yopmail.com,236.25,178,4.2
28,Madelle,Madelle.21@yopmail.com,67.93,21,4.45
29,Ursulina,Ursulina.61@yopmail.com,911.24,61,1.7
30,Misha,Misha.107@yopmail.com,762.37,107,5.48
31,Corene,Corene.20@yopmail.com,389.78,20,3.81
32,Keelia,Keelia.129@yopmail.com,393.16,129,5.14
33,Brandise,Brandise.123@yopmail.com,826.77,123,1.63
34,Roslyn,Roslyn.27@yopmail.com,707.96,27,5.37
35,Sidoney,Sidoney.151@yopmail.com,128.44,151,2.7
36,Yvonne,Yvonne.22@yopmail.com,16.52,22,2.99
37,Shel,Shel.26@yopmail.com,667.58,26,5.26
38,Madeleine,Madeleine.110@yopmail.com,475.56,110,3.85
39,Wilma,Wilma.184@yopmail.com,170.86,184,4.47
40,Daphne,Daphne.154@yopmail.com,804.74,154,2.13
41,Marylou,Marylou.86@yopmail.com,652.2,86,5.75
42,Eadie,Eadie.138@yopmail.com,558.96,138,1.53
43,Meg,Meg.13@yopmail.com,179.32,13,2.98
44,Joleen,Joleen.128@yopmail.com,961.46,128,2.27
45,Florie,Florie.@yopmail.com,172.99,0,2.49
46,Nicoli,Nicoli.43@yopmail.com,258.67,43,4.49
47,Renae,Renae.190@yopmail.com,774.2,190,1.92
48,Merle,Merle.12@yopmail.com,944.87,12,2.7
49,Tobe,Tobe.25@yopmail.com,502.25,25,1.12
50,Flo,Flo.7@yopmail.com,845.92,7,1.98
51,Dale,Dale.47@yopmail.com,940.46,47,3.08
52,Fidelia,Fidelia.28@yopmail.com,231.91,28,5.78
53,Daphne,Daphne.7@yopmail.com,917.49,7,4.64
54,Selma,Selma.15@yopmail.com,104.94,15,5.42
55,Mathilda,Mathilda.21@yopmail.com,450.38,21,5.81
56,Lorenza,Lorenza.133@yopmail.com,666.39,133,5.81
57,Cristine,Cristine.64@yopmail.com,626.03,64,5.66
58,Althea,Althea.12@yopmail.com,690.86,12,3.13
59,Christian,Christian.51@yopmail.com,753.12,51,5.22
60,Zia,Zia.38@yopmail.com,164.02,38,1.96
61,Lolita,Lolita.115@yopmail.com,355.36,115,2.54
62,Lexine,Lexine.137@yopmail.com,863.99,137,5.53
63,Mignon,Mignon.73@yopmail.com,531.04,73,1.97
64,Petronia,Petronia.69@yopmail.com,162.94,69,2.55
65,Melodie,Melodie.155@yopmail.com,733.28,155,1.06
66,Esmeralda,Esmeralda.48@yopmail.com,411.02,48,2.26
67,Fina,Fina.51@yopmail.com,108.19,51,1.16
68,Adele,Adele.33@yopmail.com,70.58,33,2.27
69,Phylis,Phylis.135@yopmail.com,470.1,135,3.49
70,Dorothy,Dorothy.131@yopmail.com,866.48,131,1.01
71,Sidoney,Sidoney.137@yopmail.com,244.67,137,5.9
72,Gilligan,Gilligan.157@yopmail.com,214.97,157,2.83
73,Chastity,Chastity.38@yopmail.com,312.95,38,4.42
74,Christy,Christy.139@yopmail.com,858.22,139,2.05
75,Sashenka,Sashenka.170@yopmail.com,612.46,170,5.53
76,Concettina,Concettina.8@yopmail.com,351.44,8,3.44
77,Corly,Corly.183@yopmail.com,870.44,183,1.97
78,Dagmar,Dagmar.144@yopmail.com,412.18,144,4.06
79,Janenna,Janenna.124@yopmail.com,612.29,124,2.52
80,Vere,Vere.196@yopmail.com,678.41,196,3.67
81,Giustina,Giustina.19@yopmail.com,796.11,19,5.53
82,Lolita,Lolita.194@yopmail.com,761.19,194,3.52
83,Meghann,Meghann.137@yopmail.com,197.65,137,4.74
84,Carol-Jean,Carol-Jean.125@yopmail.com,559.94,125,2.06
85,Lila,Lila.7@yopmail.com,284.54,7,2.95
86,Giustina,Giustina.101@yopmail.com,812.86,101,5.54
87,Regina,Regina.144@yopmail.com,997.14,144,2.95
88,Wynne,Wynne.136@yopmail.com,983.49,136,1.72
89,Babita,Babita.149@yopmail.com,557.53,149,2.43
90,Lacie,Lacie.185@yopmail.com,355.31,185,5.05
91,Robinia,Robinia.89@yopmail.com,843.01,89,3.72
92,Kaja,Kaja.12@yopmail.com,109.96,12,2.4
93,Fred,Fred.105@yopmail.com,982.48,105,4.5
94,Edee,Edee.38@yopmail.com,664.5,38,2.25
95,Candi,Candi.32@yopmail.com,439.7,32,4.1
96,Margalo,Margalo.190@yopmail.com,340.57,190,4.57
97,Deirdre,Deirdre.173@yopmail.com,915.4,173,4.77
98,Thalia,Thalia.33@yopmail.com,905.8,33,5.8
99,Millie,Millie.50@yopmail.com,208.71,50,1.97
100,Cathie,Cathie.44@yopmail.com,962.35,44,5.66
101,Vinita,Vinita.19@yopmail.com,418.92,19,2.73
102,Britni,Britni.172@yopmail.com,907.61,172,5.47
103,Alleen,Alleen.102@yopmail.com,697.23,102,3.11
104,Max,Max.129@yopmail.com,31.21,129,2.04
105,Adriana,Adriana.2@yopmail.com,623.56,2,4
106,Valera,Valera.127@yopmail.com,126.46,127,5.01
107,Shaine,Shaine.16@yopmail.com,533,16,1.04
108,Deane,Deane.188@yopmail.com,248.49,188,2.9
109,Camile,Camile.158@yopmail.com,302.5,158,1.76
110,Cristine,Cristine.137@yopmail.com,500.32,137,4.57
111,Isa,Isa.92@yopmail.com,605.99,92,2.22
112,Elena,Elena.131@yopmail.com,492.91,131,4.54
113,Kirstin,Kirstin.181@yopmail.com,826.53,181,5.94
114,Laure,Laure.66@yopmail.com,782.64,66,4.15
115,Chrystel,Chrystel.11@yopmail.com,124.6,11,1.33
116,Isa,Isa.143@yopmail.com,40.1,143,1.58
117,Alisha,Alisha.141@yopmail.com,976.99,141,5.11
118,Miquela,Miquela.96@yopmail.com,825.71,96,2.84
119,Cathie,Cathie.192@yopmail.com,831.06,192,4.29
120,Rosene,Rosene.151@yopmail.com,736.69,151,3.95
121,Bill,Bill.21@yopmail.com,165.56,21,5.53
